SSN,LastName,FirstName,Test1,Test2,Test3,Test4,Final,Grade
123-45-6789,Alfalfa,Aloysius,40.0,90.0,100.0,83.0,49.0,D-
123-12-1234,Alfred,University,41.0,97.0,96.0,97.0,48.0,D+
567-89-0123,Gerty,Gramma,41.0,80.0,60.0,40.0,44.0,C
087-65-4321,Android,Electric,42.0,23.0,36.0,45.0,47.0,B-
456-78-9012,Bumpkin,Fred,43.0,78.0,88.0,77.0,45.0,A-
234-56-7890,Rubble,Betty,44.0,90.0,80.0,90.0,46.0,C-
345-67-8901,Noshow,Cecil,45.0,11.0,-1.0,4.0,43.0,F
632-79-9939,Buff,Bif,46.0,20.0,30.0,40.0,50.0,B+
223-45-6789,Airpump,Andrew,49.01.0,90.0,100.0,83.0,A
143-12-1234,Backus,Jim,48.0,1.0,97.0,96.0,97.0,A+
565-89-0123,Carnivore,Art,44.0,1.0,80.0,60.0,40.0,D+
087-75-4321,Dandy,Jim,47.0,1.0,23.0,36.0,45.0,C+
456-71-9012,Elephant,Ima,45.0,1.0,78.0,88.0,77.0,B-
234-56-2890,Franklin,Benny,50.0,1.0,90.0,80.0,90.0,B-
345-67-3901,George,Boy,40.0,1.0,11.0,-1.0,4.0,B
632-79-9439,Heffalump,Harvey,30.0,1.0,20.0,30.0,40.0,C
